Show,Date,Icon,Title,Detail,Link
No hides it without deleting,"Optional, printed in pink above the title",One emoji,Shown in bold,The line under the title,Optional. cast.html links to the Cast page
No,September 16,📢,Mandatory parent meeting,"5:00-5:30 p.m., MAAS MPR, right after the whole cast rehearsal.",
Yes,"Friday, October 23",🎭,Mystery Dinner,Cast arrives by 5:00pm. The show runs 6:00–8:00pm.,performances.html
No,,📋,Shrek cast list is posted,See the Cast List page for roles and tracks.,cast.html
Yes,,🎬,Scene charts are ready!,"Pick your name to see every scene you're in, your costumes, and when to change.",scenes.html
